priority,entry_type,company_or_cohort,segment,stage,geo,founder_or_contact,source_url,trigger_or_hook,n_prospects,notes
A,named_company,Banza,AI,Pre-Seed ($1M May 2026),India,(see Inc42),https://inc42.com,Recent pre-seed in India — perfect $99 Deep Dive economics,1,
A,named_company,Vobiz.ai,AI,Seed ($1M May 2026),India,(see Inc42),https://inc42.com,Just raised — first investor update due,1,
A,named_company,AI Library,AI/EdTech,Pre-Seed ($560k May 2026),India,(see Inc42),https://inc42.com,$560k pre-seed = needs to make the cash last 18 months,1,
A,named_company,JobsUPI,Marketplace/HRtech,Pre-Seed ($250k May 2026),India,(see Inc42),https://inc42.com,$250k = razor-thin runway; cash discipline is existential,1,
A,named_company,Multibagg AI,Fintech (Retail Investing),Pre-Seed (₹1.5cr 2026),India (Bengaluru),(see The SaaS News),https://www.thesaasnews.com/news/multibagg-ai-raises-1-5-crore-pre-seed,Fintech founders sell trust on numbers — natural buyer,1,
A,named_company,OrbitShift,B2B SaaS,Seed ($3M Jan 2026),India (Bengaluru),"Stellaris-backed",https://www.stellarisvp.com,Stellaris portfolio — likely network warm-intro,1,
A,cohort_recipe,YC W26 batch — all B2B SaaS & AI-services companies (~120 of 196),B2B SaaS / AI,Seed,Global (US-skew),"Filter ycombinator.com/companies?batch=Winter+2026 by industry=B2B and industry=AI",https://www.ycombinator.com/companies?batch=Winter+2026,Just finished Demo Day Mar 24 2026 — 0–60 day post-funding window,~120,Mine the YC list; each row = one prospect
A,cohort_recipe,YC S25 batch — all B2B SaaS / AI / fintech / healthtech (~130 of 200),B2B SaaS / AI / Fintech / HealthTech,Seed → early Series A,Global,Filter ycombinator.com/companies?batch=Summer+2025,https://www.ycombinator.com/companies?batch=Summer+2025,~9 months post-batch — many entering first true Series A conversation now,~130,
B,cohort_recipe,YC W25 batch — same filter (~110),B2B SaaS / AI / Fintech / HealthTech,Early Series A,Global,Filter ycombinator.com/companies?batch=Winter+2025,https://www.ycombinator.com/companies?batch=Winter+2025,~14 months post-batch — runway-end approaching; high pain,~110,
A,cohort_recipe,Antler India 2025-26 cohort,B2B SaaS / Fintech / HealthTech,Pre-Seed,India,antler.co/portfolio + LinkedIn 'Antler Residency 2025-26',https://www.antler.co/portfolio,Just received Antler check — needs first proper financial model for Demo Day,~40,
A,cohort_recipe,Antler US/UK/Nordics cohorts 2025,B2B SaaS / AI,Pre-Seed,US/UK/Nordics,antler.co/portfolio,https://www.antler.co/portfolio,Same trigger as India cohort,~80,
A,cohort_recipe,Sequoia Surge 09 cohort (announced late 2025),B2B SaaS / Fintech / Consumer,Seed,India / SEA,Surge cohort announcement page,https://www.surgeahead.com,Premium cohort — warm intro via Surge ops team is gold,~25,
A,cohort_recipe,Techstars 2026 — all global accelerators,B2B SaaS / Fintech / HealthTech / ClimateTech,Seed,Global,techstars.com/portfolio filtered to 2026 cohorts,https://www.techstars.com/portfolio,Just finished or finishing program — first 'real' Series A push,~150,
B,cohort_recipe,On Deck Founder Fellowship — Cohort 16/17,B2B SaaS / AI / Consumer,Pre-Seed,Global (US-skew),beondeck.com fellowship alumni,https://www.beondeck.com,Solo or duo founders with deck but no model — perfect Snapshot fit,~80,
A,cohort_recipe,500 Global Flagship Accelerator 2025-26,B2B SaaS / Fintech / Marketplace,Seed,Global (US/MENA/SEA),500.co portfolio recent,https://500.co/portfolio,Diverse geo — strong in MENA which is high-ASP,~60,
B,cohort_recipe,Entrepreneur First (EF) — London/Berlin/Singapore cohorts 2025,B2B SaaS / DeepTech,Pre-Seed,UK/EU/SG,joinef.com portfolio,https://www.joinef.com/portfolio,Co-founder matching cohorts → first financial model with new partner,~50,
A,cohort_recipe,Lightspeed Venture Partners India Seed portfolio 2025-26,B2B SaaS / Fintech,Seed,India,lsvp.com portfolio,https://lsvp.com,Their portfolio founders all need clean financials for Lightspeed monthly reporting,~30,
A,cohort_recipe,Accel India Atoms (Atoms Pre-Seed Program),B2B SaaS,Pre-Seed,India,accel.com/atoms,https://www.accel.com,Atoms checks = first-ever institutional money; need first model,~40,
A,cohort_recipe,Blume Ventures Seed portfolio 2025-26,B2B SaaS / Consumer / Fintech,Pre-Seed/Seed,India,blume.vc/portfolio,https://blume.vc,Blume founders are notoriously self-serve and capital-efficient — ideal $99 buyers,~50,
A,cohort_recipe,Stellaris Ventures India recent investments (Jan 2025–May 2026),AI / B2B SaaS,Seed,India,stellarisvp.com portfolio,https://www.stellarisvp.com,Just-invested Stellaris cos like OrbitShift,~25,
A,cohort_recipe,3one4 Capital seed portfolio 2025-26,B2B SaaS / Consumer / Fintech,Seed,India,3one4capital.com portfolio,https://3one4capital.com,Heavy on India consumer + SaaS — fits Acumen brand,~30,
A,cohort_recipe,Together Fund India recent investments 2025-26,B2B SaaS,Seed,India,togetherfund.com portfolio,https://togetherfund.com,SaaS-only India fund; all portcos need financial-model help,~20,
B,cohort_recipe,Inflection Point Ventures (IPV) recent investments 2026,B2B SaaS / Consumer / Fintech,Pre-Seed,India,ipventures.in,https://ipventures.in,Smaller checks → founders highly cost-conscious → $99 Deep Dive is right,~40,
A,cohort_recipe,'Hiring' signal — startups posting first 5–10 jobs on Wellfound (US/India) in last 30 days,Multi,Pre-Seed/Seed,US/India,wellfound.com search filtered to 5-25 person companies,https://wellfound.com,Burn just jumped → runway anxiety spike,~200,
A,cohort_recipe,X/Twitter posts: 'just raised our pre-seed' OR 'just raised seed' OR 'we're raising' last 14 days,Multi,Pre-Seed/Seed,Global,X advanced search,https://twitter.com/search-advanced,Public buying signal — DM within 24h of post,~100/wk,Rolling weekly mining
A,cohort_recipe,LinkedIn posts: 'just closed pre-seed' OR 'thrilled to share we raised' (last 30 days),Multi,Pre-Seed/Seed,Global,Sales Navigator + LinkedIn search,https://www.linkedin.com,Same as X but higher signal-to-noise; B2B SaaS skew,~150/mo,
B,cohort_recipe,ProductHunt launches in last 30 days with 'founders' label and 200+ upvotes,B2B SaaS / Consumer,Pre-Seed/Seed,Global (US-skew),producthunt.com filtered,https://www.producthunt.com,Hot launches = traction = real numbers to analyse,~60,
A,cohort_recipe,Inc42 'Indian startups raised' weekly funding roundup — all pre-seed/seed entries 2026,Multi,Pre-Seed/Seed,India,inc42.com/buzz,https://inc42.com,Public funding signal; weekly cadence,~30/wk,Auto-monitor this column
A,cohort_recipe,Entrackr 30-30 weekly funding tracker — pre-seed/seed entries 2026,Multi,Pre-Seed/Seed,India,entrackr.com,https://entrackr.com,Same as Inc42 — cross-source for coverage,~25/wk,
B,cohort_recipe,YourStory weekly funding column — pre-seed/seed India 2026,Multi,Pre-Seed/Seed,India,yourstory.com,https://yourstory.com,Cross-source,~20/wk,
A,cohort_recipe,Sifted (sifted.eu) — UK/EU pre-seed/seed announcements last 90 days,B2B SaaS / Fintech / ClimateTech,Pre-Seed/Seed,UK/EU,sifted.eu/articles?type=funding,https://sifted.eu,Underserved by US-centric CFO services — open lane,~80,
B,cohort_recipe,'AI agent' / 'AI for X vertical' GitHub Trending repos with 100+ stars and a .com landing page,AI / DevTools,Pre-Seed,Global,github.com/trending,https://github.com/trending,Technical founders pre-incorporation or just-incorporated — early pipeline,~40,
B,cohort_recipe,Indie Hackers '$5k-50k MRR' members (last 12mo),B2B SaaS / Consumer,Bootstrapped,Global,indiehackers.com,https://www.indiehackers.com,Bootstrapped doing real revenue → Deep Dive value high,~50,
B,cohort_recipe,MicroConf Connect founders doing $10k-100k MRR,B2B SaaS,Bootstrapped,US/EU,microconfconnect.com,https://microconf.com,Self-funded SaaS — pricing & margin review = direct hit,~30,
B,cohort_recipe,Antler Singapore + Antler Jakarta cohorts 2025,B2B SaaS / Fintech / Marketplace,Pre-Seed,SEA,antler.co/portfolio,https://www.antler.co/portfolio,High-density SEA cohort; English-comfortable,~40,
B,cohort_recipe,Iterative VC (SEA YC-style accelerator) recent batches,B2B SaaS / Marketplace,Pre-Seed,SEA,iterative.vc/portfolio,https://iterative.vc,SEA equivalent of YC — clean target,~30,
A,cohort_recipe,YC W26 healthtech (22 companies — per OnHealthcareTech notes),HealthTech,Seed,US,Filter YC W26 to healthtech,https://www.onhealthcare.tech/p/the-yc-w26-health-tech-field-notes,Healthcare margins are confusing — high pain,~22,
A,cohort_recipe,US D2C brands doing $500k-$3M ARR funded by Boost Capital / Wayflyer / Ampla in last 12mo,D2C / E-commerce,Seed,US,Use Ampla / Wayflyer marketing case studies as a discovery seed,https://www.ampla.com,Working-capital + margin focus = perfect Deep Dive,~80,
A,cohort_recipe,Shopify D2C brands with 5+ employees on LinkedIn and 'Series Pre-Seed/Seed' filter on Sales Nav,D2C / E-commerce,Pre-Seed/Seed,Global,LinkedIn Sales Navigator,https://www.linkedin.com,Cohort & margin analysis is the entire job,~150,
B,cohort_recipe,Web Summit / Slush 2025-26 first-time exhibitor list (last 6mo),Multi,Pre-Seed/Seed,EU/Global,Event exhibitor lists,https://websummit.com,Just paid €5-10k for booth → has budget for $349,~120,
A,cohort_recipe,500 MENA accelerator 2025-26 cohort,Multi,Seed,MENA,500.co/mena,https://500.co/programs/mena,High-ASP region; English-comfortable founders,~30,
A,cohort_recipe,Hub71 (Abu Dhabi) recent cohort companies 2025-26,Fintech / B2B SaaS,Pre-Seed/Seed,UAE,hub71.com/portfolio,https://hub71.com,Government-backed = clean financials are MANDATORY,~25,
A,cohort_recipe,Founder threads on X about 'I don't understand my numbers' OR 'runway is confusing' (rolling),Multi,Pre-Seed/Seed,Global,X advanced search w/ founder list filter,https://twitter.com,Direct buying signal — reply with free Snapshot link,~30/wk,
A,cohort_recipe,YC W26 → use yc.com 'launches' page; companies that launched in last 30 days and have <$50k MRR shown,B2B SaaS / Consumer,Seed,Global,YC Launches,https://www.ycombinator.com/launches,Just-launched founders are most in-need of monetisation review,~40/mo,
B,cohort_recipe,Bookkeeping/accounting firms serving startups — partnership channel (NOT direct prospects),Channel partner,n/a,Global,Search 'startup bookkeeper' India/US — Pilot.com competitors / India equivalents like Volopay / Bhanzu,https://pilot.com,Refer to us when their client outgrows them,~30 firms,Partnership not direct sale
B,cohort_recipe,Solo VC investors and angels with 10+ pre-seed checks 2024-26 (signal: AngelList syndicate leads),Channel partner,n/a,Global,AngelList syndicates leaderboard,https://www.angellist.com,Refer their portfolio founders to us → trade for credibility,~50 angels,Partnership not direct sale
